date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
8/16/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/20/91,sceloporus magisters,desert spiny,c,cali,a,10,scma,j,n,NA,38,88,2,w,0
8/20/91,uta stansburiana,side-blotched lizard,c,grav,d,7,utst,j,n,NA,30,81,1,w,0
8/20/91,cnemidophorus tigrisatus,western whiptail,c,sand,b,7,cnti,m,r,421,75,139,15,b,0
8/20/91,uta stansburiana,side-blotched lizard,c,sand,b,10,utst,j,n,NA,29,75,2,w,0
8/20/91,unknown lizard,unknown,g,basn,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/20/91,uta stansburiana,side-blotched lizard,g,ibpe,a,3,utst,j,n,NA,33,73,2,w,0
8/20/91,cnemidophorus neomexicanus,new mexico,g,ibpe,a,10,cnne,j,n,NA,30,98,2,w,0
8/20/91,cnemidophorus inornatus,little striped,g,ibpe,c,15,cnin,f,n,42,56,187,3,w,0
8/20/91,uta stansburiana,side-blotched lizard,g,ibpe,c,16,utst,j,n,NA,26,61,1,w,0
8/20/91,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/20/91,uta stansburiana,side-blotched lizard,m,rabb,c,6,utst,j,n,NA,32,61,2,b,0
8/20/91,uta stansburiana,side-blotched lizard,m,rabb,c,8,utst,j,n,NA,24,58,1,w,1
8/20/91,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/20/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,j,n,NA,30,47,1,b,0
8/20/91,cnemidophorus tessalatus,colorado checkered,t,east,b,8,cnte,f,r,34,75,251,12,w,1
8/20/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,cophosuarus texanus,greater earless,c,cali,a,4,cote,m,n,NA,63,116,NA,w,1
8/23/91,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,uta stansburiana,side-blotched lizard,c,sand,b,9,utst,m,n,1542,41,106,3,w,0
8/23/91,unknown lizard,unknown,g,basn,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,cnemidophorus inornatus,little striped,g,ibpe,a,3,cnin,m,n,31,56,92,4,b,1
8/23/91,unknown lizard,unknown,g,ibpe,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,uta stansburiana,side-blotched lizard,m,rabb,c,8,utst,j,n,NA,32,92,1,w,0
8/23/91,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,unknown lizard,unknown,t,east,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
8/23/91,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/7/91,uta stansburiana,side-blotched lizard,c,cali,a,2,utst,f,n,2035,43,49,3,b,0
11/7/91,uta stansburiana,side-blotched lizard,c,cali,a,7,utst,m,n,2034,50,68,5,b,0
11/7/91,uta stansburiana,side-blotched lizard,c,cali,a,8,utst,f,n,2040,45,102,3,b,0
11/7/91,uta stansburiana,side-blotched lizard,c,cali,a,13,utst,m,n,2033,52,138,6,w,0
11/7/91,unknown lizard,unknown,c,grav,d,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
11/7/91,uta stansburiana,side-blotched lizard,c,sand,b,1,utst,m,n,2032,50,136,6,w,0
11/7/91,uta stansburiana,side-blotched lizard,c,sand,b,4,utst,m,n,2031,54,139,6,w,0
11/7/91,uta stansburiana,side-blotched lizard,c,sand,b,10,utst,m,r,1532,53,133,6,b,0
11/7/91,uta stansburiana,side-blotched lizard,c,sand,b,15,utst,m,n,2030,32,85,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,basn,b,10,utst,f,n,2025,43,108,2,w,0
11/7/91,holbrookia maculata,lesser earless,g,basn,b,14,homa,j,n,NA,32,57,1,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,basn,b,16,utst,f,n,2024,37,96,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,a,2,utst,f,n,2014,44,99,3,w,0
